x,y,c
391705,991668,18
987457,624042,0
185308,169195,27
895718,653645,0
574450,122.074,22
442061,582171,2
627338,408582,1
708518,400769,1
49623.1,943083,17
285562,460250,6
260201,874508,18
407636,40437,29
895322,898038,7
710196,14252.1,4
728446,832636,13
896054,674642,0
393567,362499,20
397412,842128,14
903867,718345,0
308603,810114,25
388104,877102,18
570574,639027,3
353557,995270,18
733695,908048,13
745354,2014.22,4
736381,392499,26
739433,195441,4
139317,388531,16
200171,928922,17
272591,673055,25
680441,672323,3
911130,496292,23
367840,507828,6
517655,676748,2
109378,98025.5,12
907437,934294,7
203070,972442,17
517960,175970,22
654836,235908,8
438520,670736,2
687643,142857,4
90426.3,34730.1,12
79561.8,19715,12
75777.5,826716,21
27802.4,389111,16
355083,444716,28
307230,470840,6
697287,49531.5,4
142674,134678,12
394848,537980,2
67842.6,484390,16
675741,279275,8
724937,183142,4
198706,533250,6
694021,16022.2,4
615711,313517,8
654897,647847,3
543992,71443.8,22
98300.1,700156,21
545366,77791.7,22
49623.1,766503,21
974578,897031,7
464034,431013,20
969970,6866.66,19
727866,381756,26
530961,540941,2
679922,938200,13
692801,443861,1
372112,369152,28
388623,162420,15
49958.8,887204,17
809778,463027,9
169561,793298,21
60823.4,204688,24
310556,536790,6
784478,22858.4,4
212470,74221,12
321909,21515.5,29
484664,484298,20
9155.55,855312,21
439863,944426,11
507859,130833,22
605945,530045,1
758538,997559,13
401074,478225,20
349803,251411,15
842647,191900,19
942320,372814,23
623310,974822,11
997284,779138,7
53468.4,901975,17
562853,326090,8
863552,975982,7
386761,858791,18
306406,415662,28
284219,521195,6
26703.7,199622,24
612568,708029,3
391186,465285,20
18616.3,105502,12
31037.3,671041,21
455702,349437,20
857936,188787,19
936766,548387,0
401898,832087,14
727287,406903,1
611591,365337,8
808374,59877.3,4
875423,910703,7
582598,122929,22
595019,988556,11
79012.4,995483,17
793176,331034,26
462203,252846,15
590625,209052,8
589434,153630,22
569201,446150,1
816065,992035,13
672750,177435,4
343577,372265,28
10223.7,373882,16
267312,592853,6
341563,818781,18
232093,329875,28
771020,217750,26
371746,827174,14
869869,69887.4,19
116855,958403,17
725578,453902,9
628925,950774,11
893948,611225,0
183020,373547,16
535569,765038,14
902005,326060,23
780084,623463,10
965209,728843,0
197363,103183,12
901547,359325,23
797418,601398,9
953398,899899,7
848811,261971,26
890347,908353,7
628712,755272,3
185461,404828,16
616932,740135,3
264992,817286,25
250649,31403.5,29
732200,467544,9
788110,177038,4
170934,734794,25
713889,283425,26
480941,629536,2
81484.4,142094,12
806543,871303,13
855342,624592,0
124638,816950,21
307474,558489,6
573321,852229,11
472976,493576,20
762047,268929,26
191870,543229,6
727775,323038,26
995025,464095,23
15350.8,233589,24
647633,944395,13
691641,462722,1
174139,330027,16
72115.2,837642,21
274972,356883,28
676626,61250.6,4
838923,497085,9
556658,36286.5,22
371227,897885,18
779504,318369,26
232521,212409,27
638234,49440,4
231666,523423,6
204596,18738.4,12
971038,663442,0
281747,190435,27
22888.9,167211,24
769219,240730,26
151830,476913,16
46968,493454,16
9247.11,482894,16
348582,254372,15
643880,649770,3
343242,46327.1,29
414563,471053,20
416517,765252,14
90670.5,442793,16
545183,434523,20
699271,772546,3
337992,160131,29
657521,268349,8
876247,202460,19
535478,908567,11
570025,911008,11
53987.2,103702,12
465773,739250,14
259987,249641,27
426801,793268,14
863338,460891,9
486587,493759,20
87435.5,994446,17
565813,75014.5,22
709403,444258,1
778466,926695,13
864223,939055,7
850551,333079,26
293008,927580,18
864376,104801,19
644917,319254,8
746849,52034.1,4
828639,381176,26
765618,344188,26
871914,505844,9
908322,663198,0
912534,380871,23
521958,808374,14
440168,834651,14
107639,178808,24
354015,329875,28
823054,468062,9
427717,353038,20
169836,78463.1,12
854.518,424574,16
657460,328288,8
773553,763207,10
63722.6,603748,5
89816,395917,16
385662,329447,15
683889,344249,8
807611,117038,4
154088,57496.9,12
142857,828211,21
48463.4,133854,12
346141,681448,25
18555.3,191259,24
978423,65065.5,19
647633,151250,4
53651.5,517350,5
914151,802606,7
637471,524430,1
431715,942045,11
21057.8,492233,16
242592,275735,27
391949,593097,2
654012,226814,8
781884,300180,26
22827.8,460738,16
826044,424512,9
138432,934629,17
634266,486679,1
550401,223487,8
983489,413739,23
463424,402142,20
214789,975768,17
300699,489669,6
782159,190405,26
342540,20325.3,29
480605,255074,15
608020,314310,8
102512,535234,5
984436,109653,19
755821,875637,13
150884,7873.78,12
456404,126743,22
711631,304788,26
998749,422040,23
775506,850185,13
641652,524461,1
621204,230659,8
946104,609851,0
688162,423536,1
289804,294198,28
567156,750603,3
290384,666066,25
548235,96408,22
712363,682821,3
246437,567980,6
546678,648946,3
492630,688437,2
952055,747612,0
669820,462661,1
765160,863918,13
623371,848445,11
445753,347026,20
798761,943541,13
745537,30915.3,4
988922,176763,19
204627,899411,17
629475,598163,3
909818,360363,23
591296,622822,3
918394,314829,23
505539,921140,11
489395,193304,15
449721,189184,15
889340,7843.26,19
940397,901914,7
182928,362499,16
251961,473922,6
203009,395825,28
730491,154027,4
941130,930235,7
625080,81637,22
41352.6,790368,21
641346,866298,13
34516.4,459456,16
556352,435255,20
544481,87221.9,22
446333,357616,20
61372.7,474410,16
996033,19226.7,19
127750,161626,12
600909,516617,1
50355.5,266823,24
172796,585833,5
660237,374615,8
332438,907132,18
315958,704215,25
653584,355235,8
410535,97109.9,29
427503,821162,14
221625,196203,27
678518,741569,3
166448,657826,5
497543,60121.5,22
507645,475600,20
802728,634907,10
435072,621174,2
4516.74,726279,21
339488,349742,28
375896,771783,14
128574,801599,21
827326,804437,10
733299,79256.6,4
891140,224403,19
643330,920408,13
650594,816736,3
514481,539720,2
733970,540544,9
737175,311441,26
957091,330454,23
465835,822718,14
363262,564776,6
112186,581927,5
904660,600696,0
821223,432936,9
454787,473006,20
108676,634419,5
869442,129124,19
761376,737053,10
39124.7,50752.3,12
416669,956664,18
936125,419996,23
67751.1,820490,21
164861,747002,21
211280,584887,6
116916,714469,21
591113,409223,1
118351,534715,5
618274,647572,3
580096,985168,11
690298,11932.7,4
731559,109226,4
915647,895260,7
669729,971160,13
298502,939085,18
808863,455641,9
378185,122990,29
997497,535722,0
772515,355266,26
204413,316782,28
170568,891842,17
388256,127262,29
181219,21210.4,12
580981,592853,3
195624,454970,16
960143,625263,0
190252,881100,17
381726,203619,15
303995,295633,28
120823,351970,16
198157,152135,27
46235.5,445173,16
771172,182348,4
761040,531663,9
881039,72267.8,19
1770.07,371776,16
448622,148015,15
426374,978118,18
801538,962279,13
461348,234565,15
494858,299234,15
749382,292093,26
238502,758538,25
559404,507981,1
92745.8,861629,17
922025,349773,23
893826,672994,0
857021,535295,9
59633.2,368175,16
490890,363353,20
632038,135899,4
747215,324839,26
756066,396069,26
255745,295236,28
909909,678610,0
791986,527543,9
199622,758599,25
552843,907010,11
51240.6,911313,17
522172,127476,22
790368,558702,9
704154,224342,8
24048.6,253456,24
731742,876644,13
553362,9796.44,22
914212,699362,0
875546,571978,0
796930,4821.92,4
305429,430525,28
394940,851253,14
481887,383953,20
52583.4,236671,24
651967,319559,8
854.518,666829,21
768578,780206,10
756188,645985,10
219733,916837,18
154759,542100,5
57527.4,725547,21
670614,379650,1
32685.3,157140,24
345866,45991.4,29
697867,892605,13
798151,781701,10
436262,422956,20
981719,287698,23
635548,684744,3
295297,949187,18
476974,1800.59,22
874355,168767,19
79287.1,604877,5
100986,250740,24
143223,655324,5
143010,301157,24
917997,626209,0
308725,839534,18
373821,205878,15
813837,872585,13
46632.3,721183,21
814203,691336,10
239998,546892,6
897885,240425,26
256508,204810,27
269356,199469,27
208014,983245,17
229377,535417,6
846156,48799.1,19
874844,857540,7
887692,308084,23
844783,56184.6,19
609272,822596,11
40894.8,61220.1,12
173528,522355,5
183752,736229,25
355907,417554,28
449263,560656,2
185064,602710,5
894467,464309,23
623035,210761,8
546342,594287,2
911679,224891,19
522599,539750,2
730644,824335,13
999329,235694,19
969329,848445,7
867428,43580.4,19
840205,136814,19
146672,984497,17
374401,68636.1,29
284371,406995,28
170965,702780,25
973754,132633,19
741813,642842,10
716605,958403,13
30884.7,236610,24
645039,937651,13
812708,96102.8,4
735923,730155,10
818171,317576,26
124638,133030,12
718894,314066,26
375072,306314,15
649831,971221,13
915433,808771,7
889676,27527.7,19
32166.5,992859,17
773492,284280,26
448866,191259,15
7568.59,596637,5
228614,90884.1,29
418470,709098,14
156590,355754,16
919034,999390,7
501694,555345,2
242866,213507,27
754479,400952,26
906522,432203,23
213477,819086,25
32105.5,933073,17
771172,118351,4
228248,427473,28
556597,64577.2,22
806391,480819,9
852016,686514,10
331614,895383,18
538926,724143,3
991791,572375,0
869350,422132,23
646870,995422,13
227729,489486,6
812799,120945,4
371044,119297,29
366894,244484,15
34974.2,613086,5
561296,459761,1
397870,7263.41,29
119785,767663,21
324931,780969,25
899014,847530,7
201483,859340,17
940184,97354,19
125065,339579,16
849330,913358,7
893948,282601,26
445570,428083,20
222114,157170,27
634754,197455,8
560076,721427,3
624042,732078,3
423658,901334,18
16480,443800,16
864132,204321,19
139622,642964,5
267403,13580.7,29
291971,800745,25
681661,366771,8
561449,512803,1
958831,162847,19
607227,586352,1
788232,780175,10
422712,549486,2
818384,458266,9
739463,774560,10
135777,119236,12
516526,440504,20
20081.2,203284,24
6988.74,857784,17
748314,198065,26
333872,368938,28
902127,471938,23
462264,243233,15
767907,406842,9
50508.1,828822,21
630970,288736,8
24170.7,838435,21
682424,580187,1
969085,144963,19
500443,693167,14
706381,982482,13
265938,828181,18
822352,104770,19
646626,470229,1
597217,379315,8
263619,361766,28
844234,606922,0
460067,828455,14
748161,189062,4
351604,843654,18
14496.3,734550,21
476547,806116,14
626484,934111,11
403882,295175,15
383618,158025,15
27619.3,687521,21
288827,375347,28
596850,92104.9,22
883877,274361,26
432173,209937,15
931547,16113.8,19
382977,78585.2,29
533128,988891,11
10071.1,843348,21
974242,388684,23
865200,332163,23
437422,546098,2
699637,923032,13
332957,780480,25
602344,610034,3
498550,315409,20
559618,917447,11
39002.7,556078,5
378216,8514.66,29
233039,938200,18
937346,611988,0
859523,731010,10
964110,866329,7
608814,742485,3
583972,489853,1
76448.9,953764,17
407025,443495,20
305307,831446,18
498581,91616.6,22
80050.1,552324,5
874783,406873,23
304270,751976,25
781518,634449,10
932890,801477,7
588427,653371,3
216224,149632,27
279305,672414,25
560717,66835.5,22
874416,502640,9
250069,316141,28
301401,79012.4,29
727134,982360,13
866604,789789,10
231086,35554.1,29
190710,133244,27
446791,316904,15
890347,890042,7
574328,635884,3
28779,990448,17
995239,687124,0
59236.4,206122,24
619190,651570,3
256935,319040,28
169836,771630,21
116123,149846,12
231483,3936.89,29
494888,384808,20
959807,183813,19
49287.4,149052,12
79622.8,105411,12
337657,363384,28
279733,659078,25
515549,711173,14
490555,793420,14
412275,162633,15
924711,712394,0
601062,74770.3,22
292154,501175,6
475753,536241,2
401654,423322,20
951323,480178,23
548357,570727,2
834925,769066,10
794427,503952,9
801660,590503,9
592853,114872,22
870083,716575,10
318064,306314,28
939177,94180.1,19
267922,334147,28
943327,478774,23
718772,925596,13
127628,20813.6,12
774895,695273,10
472884,490066,20
175909,55055.4,12
26673.2,800531,21
41627.2,876980,17
454787,306497,15
862300,749718,10
136113,599200,5
14465.8,889767,17
212775,871639,17
818537,753655,10
797205,960295,13
779656,275796,26
658498,541887,1
298746,548753,6
781426,284280,26
921506,795038,7
842128,653188,10
242622,780084,25
498764,177526,15
23011,503861,5
75716.4,909787,17
30884.7,214484,24
356212,201331,15
715323,632893,3
409803,376354,20
180425,888638,17
297922,52858.1,29
182104,169286,27
744896,355388,26
134739,602802,5
58229.3,708701,21
525620,551073,2
358867,929991,18
806726,416608,9
158818,562670,5
899869,378368,23
131809,454390,16
29236.7,302988,24
181433,89083.5,12
818079,548967,9
249214,772851,25
570696,616504,3
346904,62654.5,29
539933,723777,3
664907,448134,1
870754,532487,9
932524,866146,7
945280,528489,0
105197,781365,21
153233,112980,12
557970,917173,11
800256,398022,26
895138,903775,7
72512,156194,12
872311,745659,10
822413,469741,9
388287,722221,14
548784,485000,1
671957,752647,3
450941,431593,20
281381,999390,18
949461,831324,7
982147,182134,19
728050,731864,10
594806,349956,8
272378,972686,18
131962,336955,16
197943,56215.1,12
600513,434187,1
487350,276528,15
355327,570177,6
229926,478805,6
478439,129795,22
691794,309458,8
948149,83010.3,19
671133,193243,8
982574,963744,7
237526,666738,25
513565,60792.9,22
235817,230140,27
898038,585040,0
484359,679128,2
326456,177831,27
537492,66896.6,22
570788,559893,1
336528,152593,29
348155,2899.26,29
169225,536790,5
290170,269997,27
219275,797784,25
922819,336314,23
739677,942564,13
807001,196173,26
650441,504959,1
686697,9704.89,4
270089,781823,25
766869,367473,26
64424.6,120945,12
721763,180273,4
859066,989898,7
341563,257881,15
44373.9,884457,17
484298,650105,2
20783.1,106235,12
838191,911496,7
618519,175481,8
540574,242286,8
604053,271401,8
568682,577166,2
777367,735984,10
640034,765038,3
696738,459792,1
759941,634816,10
868007,16785.2,19
157994,594592,5
423505,855525,14
786462,93203.5,4
21424,808374,21
438368,408948,20
42146.1,776696,21
506302,441877,20
269265,810663,25
68269.9,102969,12
244850,54963.8,29
982055,137455,19
506455,298715,15
615528,416303,1
71016.6,276406,24
367504,506211,6
955535,540422,0
860073,305765,26
337474,789972,14
241890,343699,28
289529,122074,29
50965.9,592792,5
992706,889584,7
172460,993133,17
68910.8,838923,21
220130,917692,18
300913,76601.5,29
786859,183233,4
649617,305857,8
83681.8,531755,5
262764,808527,25
136479,407453,16
217536,945616,18
562578,958678,11
178259,640065,5
632282,125065,4
106906,509537,5
453719,55787.8,22
758843,163305,4
333811,566179,6
57405.3,788507,21
282510,507920,6
694296,652882,3
873257,421064,23
567583,668966,3
868496,282998,26
81209.8,822352,21
795404,196020,26
999664,191259,19
634999,82796.7,4
618854,598315,3
594775,516037,1
593127,766076,3
194250,318369,28
978881,318247,23
231513,156194,27
42298.7,205206,24
239051,642598,25
255135,258522,27
406812,82949.3,29
794946,723319,10
272469,570269,6
900052,898618,7
379437,286019,15
727561,566362,9
206488,217536,27
52949.6,827998,21
604572,683096,3
353984,423292,28
361248,691763,25
668111,701773,3
976043,877529,7
223640,277444,27
895779,162725,19
346965,151555,29
953520,51179.5,19
665120,853175,13
201666,147160,27
282357,57496.9,29
355449,773186,14
531999,314951,8
290994,36988.4,29
219977,87984.9,29
99612.4,5645.92,12
106723,374248,16
709342,403302,1
843806,913083,7
671865,88503.7,4
819147,461135,9
5768,106754,12
491348,998108,11
604633,983612,11
935331,116489,19
290628,745994,25
605823,383648,1
746910,559862,9
873836,261147,26
912229,475021,23
830103,358013,26
605914,201056,8
304880,498184,6
784234,721366,10
150121,428419,16
542619,516800,1
689047,104862,4
394635,835261,14
993194,497543,23
101932,438246,16
411603,870205,14
27436.1,202399,24
687429,651143,3
258889,480056,6
169012,434187,16
228645,850276,18
189001,463393,16
862209,449507,9
763298,285745,26
47608.9,80233.2,12
483230,225990,15
56154.1,384014,16
961241,74739.8,19
84994,156133,12
565477,7446.52,22
962554,998688,7
573901,394879,20
878658,580676,0
408704,948485,18
403150,424451,20
413495,693319,14
658528,991150,13
823359,700156,10
945189,519089,0
283120,463912,6
2227.85,205359,24
616260,410932,1
49440,531114,5
656056,379467,1
421949,449538,20
954497,168615,19
603961,398816,1
200873,520066,6
414380,298532,15
340556,303629,28
623127,465346,1
808405,352916,26
4852.44,360729,16
105258,460067,16
394421,890805,18
276864,620930,6
316782,238105,27
824244,840327,7
853511,542985,9
311533,795312,25
197668,792932,25
564684,530015,1
469069,648000,2
995117,249062,23
433241,252297,15
368480,309091,15
418775,981689,18
384869,807428,14
580432,182043,8
877743,855617,7
337413,883541,18
393384,831446,14
951048,860897,7
509140,748192,14
418592,873836,14
608295,491104,1
776757,85909.6,4
83651.2,173833,24
151189,155858,12
207923,384045,28
87344,941710,17
317270,746727,25
471816,784021,14
629139,156346,8
332774,562792,6
79317.6,344890,16
614521,779015,3
142827,281381,24
280709,422071,28
824976,370525,26
439070,971892,11
994415,653310,0
220954,175512,27
107334,340434,16
518998,857570,11
264595,151006,27
7354.96,595080,5
576250,212867,8
770562,239570,26
107517,829310,21
969207,620380,0
369427,356822,28
903989,946959,7
521714,893063,11
222663,61128.6,29
302622,570299,6
478469,404553,20
310617,110904,29
414411,980956,18
764733,53437.9,4
841609,338511,26
389111,824763,14
427473,294229,15
724174,743339,10
734916,397198,26
91402.9,210944,24
81728.6,607074,5
753075,915983,13
846980,969848,7
637806,950041,11
359630,833522,18
475021,462355,20
94393.7,983459,17
415296,960540,18
188360,618702,5
343120,744621,25
913388,959655,7
229316,353923,28
310312,99520.9,29
154271,438337,16
341533,112430,29
182287,266060,27
272286,34821.6,29
205939,267556,27
172460,768181,21
335276,722221,25
65431.7,835688,21
501907,38575.4,22
963683,889218,7
809259,191290,26
446455,527482,2
912992,878994,7
179266,982208,17
481918,985961,11
472091,174749,15
699240,87618.6,4
248604,172369,27
936705,164434,19
277444,800439,25
299539,502609,6
822443,725272,10
819636,90884.1,4
629902,330119,8
795068,792840,10
7202.37,796686,21
260964,309977,28
289529,593341,6
952971,579730,0
859462,692801,10
517441,892178,11
707511,912351,13
256172,795343,25
921049,420820,23
491256,906003,11
93539.2,310404,24
825983,182745,19
76693,812311,21
282632,173650,27
383862,870357,18
643269,345775,8
515091,999878,11
431532,965911,11
140721,274545,24
974975,253273,23
74617.8,528520,5
5188.15,792688,21
914792,58107.2,19
411664,605060,2
755333,883175,13
187658,945738,17
101718,606067,5
423139,965423,18
677938,713462,3
527421,949431,11
824213,425855,9
837184,70162.1,19
271493,536851,6
499496,575976,2
870449,726676,10
148991,214179,27
970794,201758,19
538377,581439,2
220679,836512,25
66744,124882,12
204627,891537,17
197729,818720,25
192907,488388,6
199530,228645,27
956786,950713,7
593493,883389,11
738792,507157,9
294382,715690,25
679830,314920,8
786126,949644,13
921323,927519,7
928434,310282,23
844325,825404,7
258980,951262,18
105441,75380.7,12
61891.5,152348,12
903775,209540,19
148320,765069,21
892758,643300,0
359416,696249,25
956694,8911.4,19
381573,552141,2
331462,290780,28
684561,33906.1,4
887539,235420,26
380108,913968,18
433271,802149,14
674642,547624,1
267098,37568.3,29
482833,18677.3,22
527848,331248,20
802057,299356,26
794122,157628,4
746330,354991,26
486679,766289,14
827784,62685,4
559038,460921,1
278787,268593,27
347179,744377,25
54139.8,403455,16
911252,318949,23
762902,938597,13
368480,347880,28
282388,715384,25
211249,126957,27
324564,949217,18
50141.9,13947,12
881619,617389,0
