x,y,c
416517,765252,11
90670.5,442793,16
545183,434523,15
699271,772546,10
337992,160131,14
657521,268349,8
876247,202460,1
535478,908567,13
570025,911008,13
53987.2,103702,5
465773,739250,11
259987,249641,18
426801,793268,13
863338,460891,7
486587,493759,15
87435.5,994446,12
565813,75014.5,4
709403,444258,9
778466,926695,3
864223,939055,19
850551,333079,7
293008,927580,17
864376,104801,1
644917,319254,8
746849,52034.1,4
828639,381176,7
765618,344188,8
871914,505844,0
908322,663198,0
912534,380871,7
521958,808374,13
440168,834651,13
107639,178808,5
354015,329875,18
823054,468062,7
427717,353038,15
169836,78463.1,5
854.518,424574,16
657460,328288,8
773553,763207,10
63722.6,603748,6
89816,395917,16
385662,329447,18
683889,344249,8
807611,117038,1
154088,57496.9,5
142857,828211,12
48463.4,133854,5
346141,681448,11
18555.3,191259,5
978423,65065.5,1
647633,151250,4
53651.5,517350,6
914151,802606,19
637471,524430,9
431715,942045,13
21057.8,492233,16
242592,275735,18
391949,593097,11
654012,226814,8
781884,300180,8
22827.8,460738,16
826044,424512,7
138432,934629,12
634266,486679,9
550401,223487,15
983489,413739,7
463424,402142,15
214789,975768,12
300699,489669,2
782159,190405,8
342540,20325.3,14
480605,255074,15
608020,314310,8
102512,535234,6
984436,109653,1
755821,875637,3
150884,7873.78,5
456404,126743,14
711631,304788,8
998749,422040,7
775506,850185,3
641652,524461,9
621204,230659,8
946104,609851,0
688162,423536,9
289804,294198,18
567156,750603,10
290384,666066,2
548235,96408,4
712363,682821,10
246437,567980,2
546678,648946,11
492630,688437,11
952055,747612,19
669820,462661,9
765160,863918,3
623371,848445,3
445753,347026,15
798761,943541,3
745537,30915.3,4
988922,176763,1
204627,899411,12
629475,598163,9
909818,360363,7
591296,622822,11
918394,314829,7
505539,921140,13
489395,193304,14
449721,189184,14
889340,7843.26,1
940397,901914,19
182928,362499,16
251961,473922,2
203009,395825,16
730491,154027,4
941130,930235,19
625080,81637,4
41352.6,790368,12
641346,866298,3
34516.4,459456,16
556352,435255,15
544481,87221.9,4
446333,357616,15
61372.7,474410,16
996033,19226.7,1
127750,161626,5
600909,516617,9
50355.5,266823,16
172796,585833,6
660237,374615,8
332438,907132,17
315958,704215,17
653584,355235,8
410535,97109.9,14
427503,821162,13
221625,196203,18
678518,741569,10
166448,657826,6
497543,60121.5,14
507645,475600,15
802728,634907,0
435072,621174,11
4516.74,726279,6
339488,349742,18
375896,771783,17
128574,801599,12
827326,804437,19
733299,79256.6,4
891140,224403,1
643330,920408,3
650594,816736,3
514481,539720,11
733970,540544,9
737175,311441,8
957091,330454,7
465835,822718,13
363262,564776,2
112186,581927,6
904660,600696,0
821223,432936,7
454787,473006,15
108676,634419,6
869442,129124,1
761376,737053,10
39124.7,50752.3,5
416669,956664,13
936125,419996,7
67751.1,820490,12
164861,747002,6
211280,584887,2
116916,714469,6
591113,409223,15
118351,534715,6
618274,647572,10
580096,985168,13
690298,11932.7,4
731559,109226,4
915647,895260,19
669729,971160,3
298502,939085,17
808863,455641,7
378185,122990,14
997497,535722,0
772515,355266,8
204413,316782,18
170568,891842,12
388256,127262,14
181219,21210.4,5
580981,592853,11
195624,454970,16
960143,625263,0
190252,881100,12
381726,203619,14
303995,295633,18
120823,351970,16
198157,152135,5
46235.5,445173,16
771172,182348,8
761040,531663,9
881039,72267.8,1
1770.07,371776,16
448622,148015,14
426374,978118,13
801538,962279,3
461348,234565,15
494858,299234,15
749382,292093,8
238502,758538,17
559404,507981,9
92745.8,861629,12
922025,349773,7
893826,672994,0
857021,535295,0
59633.2,368175,16
490890,363353,15
632038,135899,4
747215,324839,8
756066,396069,9
255745,295236,18
909909,678610,0
791986,527543,9
199622,758599,17
552843,907010,13
51240.6,911313,12
522172,127476,4
790368,558702,0
704154,224342,8
24048.6,253456,16
731742,876644,3
553362,9796.44,4
914212,699362,0
875546,571978,0
796930,4821.92,1
305429,430525,2
394940,851253,17
481887,383953,15
52583.4,236671,5
651967,319559,8
854.518,666829,6
768578,780206,10
756188,645985,10
219733,916837,17
154759,542100,6
57527.4,725547,6
670614,379650,8
32685.3,157140,5
345866,45991.4,14
697867,892605,3
798151,781701,10
436262,422956,15
981719,287698,7
635548,684744,10
295297,949187,17
476974,1800.59,14
874355,168767,1
79287.1,604877,6
100986,250740,16
143223,655324,6
143010,301157,16
917997,626209,0
308725,839534,17
373821,205878,14
813837,872585,19
46632.3,721183,6
814203,691336,0
239998,546892,2
897885,240425,1
256508,204810,18
269356,199469,18
208014,983245,12
229377,535417,2
846156,48799.1,1
874844,857540,19
887692,308084,7
844783,56184.6,1
609272,822596,3
40894.8,61220.1,5
173528,522355,2
183752,736229,6
355907,417554,2
449263,560656,11
185064,602710,6
894467,464309,7
623035,210761,8
546342,594287,11
911679,224891,1
522599,539750,11
730644,824335,3
999329,235694,1
969329,848445,19
867428,43580.4,1
840205,136814,1
146672,984497,12
374401,68636.1,14
284371,406995,18
170965,702780,6
973754,132633,1
741813,642842,10
716605,958403,3
30884.7,236610,5
645039,937651,3
812708,96102.8,1
735923,730155,10
818171,317576,7
124638,133030,5
718894,314066,8
375072,306314,18
649831,971221,3
915433,808771,19
889676,27527.7,1
32166.5,992859,12
773492,284280,8
448866,191259,14
7568.59,596637,6
228614,90884.1,5
418470,709098,11
156590,355754,16
919034,999390,19
501694,555345,11
242866,213507,18
754479,400952,9
906522,432203,7
213477,819086,17
32105.5,933073,12
771172,118351,1
228248,427473,2
556597,64577.2,4
806391,480819,9
852016,686514,0
331614,895383,17
538926,724143,11
991791,572375,0
869350,422132,7
646870,995422,3
227729,489486,2
812799,120945,1
371044,119297,14
366894,244484,18
34974.2,613086,6
561296,459761,9
397870,7263.41,14
119785,767663,12
324931,780969,17
899014,847530,19
201483,859340,17
940184,97354,1
125065,339579,16
849330,913358,19
893948,282601,7
445570,428083,15
222114,157170,5
634754,197455,4
560076,721427,10
624042,732078,10
423658,901334,13
16480,443800,16
864132,204321,1
139622,642964,6
267403,13580.7,14
291971,800745,17
681661,366771,8
561449,512803,9
958831,162847,1
607227,586352,9
788232,780175,10
422712,549486,11
818384,458266,7
739463,774560,10
135777,119236,5
516526,440504,15
20081.2,203284,5
6988.74,857784,12
748314,198065,8
333872,368938,18
902127,471938,7
462264,243233,15
767907,406842,9
50508.1,828822,12
630970,288736,8
24170.7,838435,12
682424,580187,9
969085,144963,1
500443,693167,11
706381,982482,3
265938,828181,17
822352,104770,1
646626,470229,9
597217,379315,15
263619,361766,18
844234,606922,0
460067,828455,13
748161,189062,8
351604,843654,17
14496.3,734550,6
476547,806116,13
626484,934111,3
403882,295175,15
383618,158025,14
27619.3,687521,6
288827,375347,18
596850,92104.9,4
883877,274361,7
432173,209937,14
931547,16113.8,1
382977,78585.2,14
533128,988891,13
10071.1,843348,12
974242,388684,7
865200,332163,7
437422,546098,11
699637,923032,3
332957,780480,17
602344,610034,10
498550,315409,15
559618,917447,13
39002.7,556078,6
378216,8514.66,14
233039,938200,17
937346,611988,0
859523,731010,0
964110,866329,19
608814,742485,10
583972,489853,9
76448.9,953764,12
407025,443495,15
305307,831446,17
498581,91616.6,14
80050.1,552324,6
874783,406873,7
304270,751976,17
781518,634449,0
932890,801477,19
588427,653371,10
216224,149632,5
279305,672414,2
560717,66835.5,4
874416,502640,0
250069,316141,18
301401,79012.4,14
727134,982360,3
866604,789789,19
231086,35554.1,5
190710,133244,5
446791,316904,15
890347,890042,19
574328,635884,11
28779,990448,12
995239,687124,0
59236.4,206122,5
619190,651570,10
256935,319040,18
169836,771630,12
116123,149846,5
231483,3936.89,5
494888,384808,15
959807,183813,1
49287.4,149052,5
79622.8,105411,5
337657,363384,18
279733,659078,2
515549,711173,11
490555,793420,13
412275,162633,14
924711,712394,0
601062,74770.3,4
292154,501175,2
475753,536241,11
401654,423322,15
951323,480178,7
548357,570727,11
834925,769066,19
794427,503952,9
801660,590503,0
592853,114872,4
870083,716575,0
318064,306314,18
939177,94180.1,1
267922,334147,18
943327,478774,7
718772,925596,3
127628,20813.6,5
774895,695273,10
472884,490066,15
175909,55055.4,5
26673.2,800531,12
41627.2,876980,12
454787,306497,15
862300,749718,19
136113,599200,6
14465.8,889767,12
212775,871639,17
818537,753655,10
797205,960295,3
779656,275796,8
658498,541887,9
298746,548753,2
781426,284280,8
921506,795038,19
842128,653188,0
242622,780084,17
498764,177526,14
23011,503861,16
75716.4,909787,12
30884.7,214484,5
356212,201331,14
715323,632893,10
409803,376354,15
180425,888638,12
297922,52858.1,14
182104,169286,5
744896,355388,8
134739,602802,6
58229.3,708701,6
525620,551073,11
358867,929991,17
806726,416608,7
158818,562670,6
899869,378368,7
131809,454390,16
29236.7,302988,16
181433,89083.5,5
818079,548967,0
249214,772851,17
570696,616504,11
346904,62654.5,14
539933,723777,11
664907,448134,9
870754,532487,0
932524,866146,19
945280,528489,0
105197,781365,12
153233,112980,5
557970,917173,13
800256,398022,7
895138,903775,19
72512,156194,5
872311,745659,0
822413,469741,7
388287,722221,11
548784,485000,9
671957,752647,10
450941,431593,15
281381,999390,17
949461,831324,19
982147,182134,1
728050,731864,10
594806,349956,15
272378,972686,17
131962,336955,16
197943,56215.1,5
600513,434187,9
487350,276528,15
355327,570177,2
229926,478805,2
478439,129795,14
691794,309458,8
948149,83010.3,1
671133,193243,8
982574,963744,19
237526,666738,6
513565,60792.9,4
235817,230140,18
898038,585040,0
484359,679128,11
326456,177831,14
537492,66896.6,4
570788,559893,9
336528,152593,14
348155,2899.26,14
169225,536790,6
290170,269997,18
219275,797784,17
922819,336314,7
739677,942564,3
807001,196173,1
650441,504959,9
686697,9704.89,4
270089,781823,17
766869,367473,8
64424.6,120945,5
721763,180273,8
859066,989898,19
341563,257881,18
44373.9,884457,12
484298,650105,11
20783.1,106235,5
838191,911496,19
618519,175481,4
540574,242286,15
604053,271401,8
568682,577166,11
777367,735984,10
640034,765038,10
696738,459792,9
759941,634816,10
868007,16785.2,1
157994,594592,6
423505,855525,13
786462,93203.5,1
21424,808374,12
438368,408948,15
42146.1,776696,12
506302,441877,15
269265,810663,17
68269.9,102969,5
244850,54963.8,5
982055,137455,1
506455,298715,15
615528,416303,9
71016.6,276406,16
367504,506211,2
955535,540422,0
860073,305765,7
337474,789972,17
241890,343699,18
289529,122074,14
50965.9,592792,6
992706,889584,19
172460,993133,12
68910.8,838923,12
220130,917692,17
300913,76601.5,14
786859,183233,1
649617,305857,8
83681.8,531755,6
262764,808527,17
136479,407453,16
217536,945616,12
562578,958678,13
178259,640065,6
632282,125065,4
106906,509537,16
453719,55787.8,14
758843,163305,8
333811,566179,2
57405.3,788507,12
282510,507920,2
694296,652882,10
873257,421064,7
567583,668966,11
868496,282998,7
81209.8,822352,12
795404,196020,8
999664,191259,1
634999,82796.7,4
618854,598315,9
594775,516037,9
593127,766076,10
194250,318369,18
978881,318247,7
231513,156194,5
42298.7,205206,5
239051,642598,2
255135,258522,18
406812,82949.3,14
794946,723319,10
272469,570269,2
900052,898618,19
379437,286019,18
727561,566362,9
206488,217536,18
52949.6,827998,12
604572,683096,10
353984,423292,2
361248,691763,11
668111,701773,10
976043,877529,19
223640,277444,18
895779,162725,1
346965,151555,14
953520,51179.5,1
665120,853175,3
201666,147160,5
282357,57496.9,14
355449,773186,17
531999,314951,15
290994,36988.4,14
219977,87984.9,5
99612.4,5645.92,5
106723,374248,16
709342,403302,9
843806,913083,19
671865,88503.7,4
819147,461135,7
5768,106754,5
491348,998108,13
604633,983612,3
935331,116489,1
290628,745994,17
605823,383648,15
746910,559862,9
873836,261147,7
912229,475021,7
830103,358013,7
605914,201056,4
304880,498184,2
784234,721366,10
150121,428419,16
542619,516800,9
689047,104862,4
394635,835261,17
993194,497543,7
101932,438246,16
411603,870205,13
27436.1,202399,5
687429,651143,10
258889,480056,2
169012,434187,16
228645,850276,17
189001,463393,16
862209,449507,7
763298,285745,8
47608.9,80233.2,5
483230,225990,15
56154.1,384014,16
961241,74739.8,1
84994,156133,5
565477,7446.52,4
962554,998688,19
573901,394879,15
878658,580676,0
408704,948485,13
403150,424451,15
413495,693319,11
658528,991150,3
823359,700156,0
945189,519089,0
283120,463912,2
2227.85,205359,5
616260,410932,9
49440,531114,6
656056,379467,8
421949,449538,15
954497,168615,1
603961,398816,9
200873,520066,2
414380,298532,15
340556,303629,18
623127,465346,9
808405,352916,7
4852.44,360729,16
105258,460067,16
394421,890805,13
276864,620930,2
316782,238105,18
824244,840327,19
853511,542985,0
311533,795312,17
197668,792932,17
564684,530015,9
469069,648000,11
995117,249062,7
433241,252297,15
368480,309091,18
418775,981689,13
384869,807428,17
580432,182043,4
877743,855617,19
337413,883541,17
393384,831446,17
951048,860897,19
509140,748192,11
418592,873836,13
608295,491104,9
776757,85909.6,1
83651.2,173833,5
151189,155858,5
207923,384045,18
87344,941710,12
317270,746727,17
471816,784021,13
629139,156346,4
332774,562792,2
79317.6,344890,16
614521,779015,10
142827,281381,16
280709,422071,2
824976,370525,7
439070,971892,13
994415,653310,0
220954,175512,5
107334,340434,16
518998,857570,13
264595,151006,14
7354.96,595080,6
576250,212867,4
770562,239570,8
107517,829310,12
969207,620380,0
369427,356822,18
903989,946959,19
521714,893063,13
222663,61128.6,5
302622,570299,2
478469,404553,15
310617,110904,14
414411,980956,13
764733,53437.9,1
841609,338511,7
389111,824763,17
427473,294229,15
724174,743339,10
734916,397198,9
91402.9,210944,5
81728.6,607074,6
753075,915983,3
846980,969848,19
637806,950041,3
359630,833522,17
475021,462355,15
94393.7,983459,12
415296,960540,13
188360,618702,6
343120,744621,17
913388,959655,19
229316,353923,18
310312,99520.9,14
154271,438337,16
341533,112430,14
182287,266060,18
272286,34821.6,14
205939,267556,18
172460,768181,12
335276,722221,17
65431.7,835688,12
501907,38575.4,4
963683,889218,19
809259,191290,1
446455,527482,11
912992,878994,19
179266,982208,12
481918,985961,13
472091,174749,14
699240,87618.6,4
248604,172369,18
936705,164434,1
277444,800439,17
299539,502609,2
822443,725272,0
819636,90884.1,1
629902,330119,8
795068,792840,19
7202.37,796686,12
260964,309977,18
289529,593341,2
952971,579730,0
859462,692801,0
517441,892178,13
707511,912351,3
256172,795343,17
921049,420820,7
491256,906003,13
93539.2,310404,16
825983,182745,1
76693,812311,12
282632,173650,14
383862,870357,17
643269,345775,8
515091,999878,13
431532,965911,13
140721,274545,16
974975,253273,7
74617.8,528520,6
5188.15,792688,12
914792,58107.2,1
411664,605060,11
755333,883175,3
187658,945738,12
101718,606067,6
423139,965423,13
677938,713462,10
527421,949431,13
824213,425855,7
837184,70162.1,1
271493,536851,2
499496,575976,11
870449,726676,0
148991,214179,5
970794,201758,1
538377,581439,11
220679,836512,17
66744,124882,5
204627,891537,12
197729,818720,17
192907,488388,2
199530,228645,18
956786,950713,19
593493,883389,13
738792,507157,9
294382,715690,17
679830,314920,8
786126,949644,3
921323,927519,19
928434,310282,7
844325,825404,19
258980,951262,17
105441,75380.7,5
61891.5,152348,5
903775,209540,1
148320,765069,6
892758,643300,0
359416,696249,11
956694,8911.4,1
381573,552141,2
331462,290780,18
684561,33906.1,4
887539,235420,1
380108,913968,17
433271,802149,13
674642,547624,9
267098,37568.3,14
482833,18677.3,14
527848,331248,15
802057,299356,8
794122,157628,1
746330,354991,8
486679,766289,13
827784,62685,1
559038,460921,9
278787,268593,18
347179,744377,17
54139.8,403455,16
911252,318949,7
762902,938597,3
368480,347880,18
282388,715384,17
211249,126957,5
324564,949217,17
50141.9,13947,5
881619,617389,0
